City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Garwa,IN,24.1833,83.8167,81.63,75,36,4.27,scattered clouds
228,Neuquen,AR,-38.9516,-68.0591,57.09,35,0,1.14,clear sky
229,Kpandae,GH,8.4689,-0.0113,78.4,74,100,4.56,overcast clouds
230,Ust-Maya,RU,60.4167,134.5333,60.08,73,98,2.77,overcast clouds
231,Konskie,PL,51.1917,20.4061,74.16,72,0,5.28,clear sky
232,Chervonohryhorivka,UA,47.623,34.5389,74.41,64,6,7.34,clear sky
233,Kahului,US,20.8947,-156.47,82.85,75,21,17.0,few clouds
234,El Bagre,CO,7.5927,-74.8086,88.34,64,91,3.96,overcast clouds
235,Scarborough,GB,54.2797,-0.4044,59.9,87,2,8.61,clear sky
236,Berlevag,NO,70.8578,29.0864,57.0,93,75,4.61,light rain
237,Nicoya,CR,10.1483,-85.452,87.35,74,59,3.51,broken clouds
238,Grand Gaube,MU,-20.0064,57.6608,70.2,69,13,3.0,few clouds
239,Jishou,CN,28.3167,109.7167,75.69,96,3,2.57,clear sky
240,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.96,38,59,2.73,broken clouds
241,Katsuura,JP,35.1333,140.3,76.1,92,40,7.87,scattered clouds
242,Show Low,US,34.2542,-110.0298,87.51,32,1,12.66,clear sky
243,Vila Velha,BR,-20.3297,-40.2925,78.96,71,40,4.61,scattered clouds
244,East London,ZA,-33.0153,27.9116,53.02,66,72,22.32,light rain
245,Sweetwater,US,25.7634,-80.3731,78.82,93,90,11.5,thunderstorm
246,Mangan,IN,27.5167,88.5333,74.62,93,97,0.63,overcast clouds
247,Ambon,ID,-3.6954,128.1814,75.34,100,40,4.61,light rain
248,Ancud,CL,-41.8697,-73.8203,49.53,79,100,7.45,overcast clouds
249,Bose,IT,45.4612,8.0137,60.39,82,6,9.46,light rain
250,Ulladulla,AU,-35.35,150.4667,56.3,59,100,11.18,overcast clouds
251,Bathurst,AU,-33.4166,149.5806,46.85,91,100,6.93,overcast clouds
252,Moron,AR,-34.6534,-58.6198,57.99,72,78,4.0,broken clouds
253,Faya,SA,18.3851,42.4509,69.91,48,99,5.28,overcast clouds
254,Aksarka,RU,66.5606,67.7975,41.34,69,40,2.86,scattered clouds
255,Vung Tau,VN,10.346,107.0843,80.89,78,91,1.88,light rain
256,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,66.79,77,75,4.47,broken clouds
257,Pachino,IT,36.7186,15.0907,78.84,67,0,13.31,clear sky
258,Carutapera,BR,-1.195,-46.02,76.3,92,77,6.64,broken clouds
259,Faanui,PF,-16.4833,-151.75,80.46,69,0,20.33,clear sky
260,Sciacca,IT,37.5082,13.0881,81.05,75,16,3.02,few clouds
261,Sinnamary,GF,5.3833,-52.95,80.04,84,95,8.52,overcast clouds
262,Turukhansk,RU,65.8167,87.9833,35.19,78,52,8.55,broken clouds
263,Tual,ID,-5.6667,132.75,80.4,84,72,16.28,broken clouds
264,Saldanha,ZA,-33.0117,17.9442,44.65,70,36,3.0,scattered clouds
265,Tuatapere,NZ,-46.1333,167.6833,40.42,87,100,7.72,overcast clouds
266,Saint-Prosper,CA,46.2117,-70.4811,72.32,56,100,9.33,overcast clouds
267,Castro,BR,-24.7911,-50.0119,58.46,65,14,2.57,few clouds
268,Vredendal,ZA,-31.6683,18.5012,46.71,76,4,4.03,clear sky
269,Hokitika,NZ,-42.7167,170.9667,42.91,82,78,4.45,broken clouds
270,Taoudenni,ML,22.6783,-3.9836,105.96,6,0,8.99,clear sky
271,Sassandra,CI,4.95,-6.0833,75.18,87,72,6.64,light rain
272,Knysna,ZA,-34.0363,23.0471,44.98,81,86,6.6,light rain
273,Richards Bay,ZA,-28.783,32.0377,64.53,45,66,15.01,broken clouds
274,Jaru,BR,-10.4389,-62.4664,91.72,34,0,1.01,clear sky
275,Mae Sai,TH,20.4335,99.8762,76.32,97,61,2.01,broken clouds
276,Abu Dhabi,AE,24.4667,54.3667,98.71,71,0,1.14,clear sky
277,Jumla,NP,29.2747,82.1838,61.45,94,100,0.43,overcast clouds
278,Tshane,BW,-24.0196,21.8684,36.25,51,0,7.87,clear sky
279,Sakaiminato,JP,35.55,133.2333,73.38,100,75,3.44,broken clouds
280,Pauini,BR,-7.7136,-66.9764,92.03,38,7,1.74,clear sky
281,Vilhena,BR,-12.7406,-60.1458,88.02,37,0,9.22,clear sky
282,Ginir,ET,7.1333,40.7,58.78,81,100,8.32,light rain
283,Tabuk,PH,17.4189,121.4443,73.56,92,100,2.28,overcast clouds
284,Hengyang,CN,26.8881,112.615,80.35,75,52,4.63,broken clouds
285,Aswan,EG,24.0934,32.907,93.33,16,100,14.18,overcast clouds
286,Sola,VU,-13.8833,167.55,80.51,79,88,20.76,overcast clouds
287,Jacksonville Beach,US,30.2947,-81.3931,91.06,71,5,3.0,clear sky
288,Bima,ID,-8.4667,118.7167,70.52,93,68,5.28,broken clouds
289,Labuhan,ID,-6.8844,112.2051,76.55,75,38,13.69,scattered clouds
290,Kozmodemyansk,RU,56.3367,46.5711,70.63,85,54,2.33,broken clouds
291,Manggar,ID,-2.8833,108.2667,71.37,91,100,14.65,light rain
292,Qiongshan,CN,20.0058,110.3542,80.58,83,0,2.24,clear sky
293,Matara,LK,5.9485,80.5353,78.21,89,100,11.48,overcast clouds
294,Almunecar,ES,36.7339,-3.6907,83.32,76,6,2.28,clear sky
295,Zolochiv,UA,49.806,24.8944,70.27,80,0,8.84,clear sky
296,La Cruz,MX,23.9167,-106.9,86.86,56,98,7.45,overcast clouds
297,Quang Ngai,VN,15.1167,108.8,75.42,90,75,4.32,broken clouds
298,Deputatskiy,RU,69.3,139.9,50.2,71,100,3.98,overcast clouds
299,San Juan,AR,-31.5375,-68.5364,60.89,41,52,9.78,broken clouds
300,Chilliwack,CA,49.1747,-121.9443,85.35,50,13,5.99,few clouds
301,Tessalit,ML,20.1986,1.0114,97.25,5,3,10.11,clear sky
302,San Jose,US,37.3394,-121.895,84.85,64,1,12.66,clear sky
