City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
356,Victoria,HK,85.32,broken clouds,22.2855,114.1577,Mini Hotel Central
357,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
358,Qui Nhon,VN,78.26,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
366,Casablanca,MA,70.02,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
369,Burns Lake,CA,78.22,scattered clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
370,Yinchuan,CN,84.24,few clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
372,Wattegama,LK,76.95,overcast clouds,6.7989,81.4808,
373,Harper,LR,77.04,light rain,4.375,-7.7169,Screensaver
377,Dingle,PH,77.45,light rain,10.9995,122.6711,SEGAYA PROPERTY
380,Buchanan,LR,76.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
382,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
383,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
384,Greenwood,US,89.49,few clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
386,Krsko,SI,79.88,overcast clouds,45.9591,15.4917,Hostel Krško
388,Pyu,MM,75.99,scattered clouds,18.4833,96.4333,Mr Bo Bo
389,Salinas,US,78.51,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
390,Liaozhong,CN,77.49,light rain,41.5061,122.7242,Bishuiwan Hotel
393,Kavieng,PG,82.65,broken clouds,-2.5744,150.7967,Nusa Island Retreat
395,Halden,NO,73.54,broken clouds,59.1226,11.3871,Clarion Collection Hotel Park
397,Bone,DE,74.62,heavy intensity rain,51.9669,12.1396,Sporthotel Wallwitz
401,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
403,Iracoubo,GF,78.69,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
404,The Valley,AI,85.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
408,San Ignacio,BZ,80.74,clear sky,17.1561,-89.0714,Rainforest Haven Inn
411,Morehead,US,83.95,clear sky,37.2711,-87.1764,CCI Express Inn
412,Illela,NG,89.8,broken clouds,13.7292,5.2975,
413,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
414,Visby,SE,73.06,light rain,57.6409,18.296,Best Western Solhem Hotel Visby
415,Moissala,TD,71.65,light rain,8.3404,17.7663,
416,Namatanai,PG,79.18,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
417,Piacabucu,BR,73.62,clear sky,-10.4056,-36.4344,Piaçabuçu News
418,Novooleksiyivka,UA,75.2,clear sky,46.2269,34.6428,
421,Kapoeta,SS,70.27,broken clouds,4.7717,33.5903,Eastgate Hotel
423,Broome,US,82.56,broken clouds,42.2506,-75.833,Chenango Valley State Park
427,Waingapu,ID,71.51,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
430,Islampur,IN,79.03,moderate rain,26.2667,88.2,Circuit House
431,Mersing,MY,73.31,light rain,2.4312,103.8405,Timotel Hotel
432,Mujiayingzi,CN,70.05,overcast clouds,42.1167,118.7833,Jinjiang Hotel
433,La Asuncion,VE,87.53,clear sky,11.0333,-63.8628,Colinas de Matasiete
434,Acara,BR,80.89,overcast clouds,-1.9608,-48.1967,Hotel Vale do Acará
435,Hamilton,US,81.41,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
438,Puerto Narino,CO,85.95,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
439,Xinqing,CN,72.93,overcast clouds,48.2333,129.5,
441,Kochi,IN,78.01,overcast clouds,9.9399,76.2602,Hotel Abad
444,West Helena,US,87.48,broken clouds,34.5507,-90.6418,Best Western Inn
445,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
447,Marfino,RU,78.94,clear sky,55.7028,37.3822,Nemchinovka-Park
448,Vavuniya,LK,77.27,overcast clouds,8.7514,80.4971,Thampa Hotel
